,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Europe,7104.574259704,7000.523912572,6553.65066352,6239.669946149999,5912.915085457,5877.549434610001,5925.104816919,5667.970780156999,5688.925165267,5629.628493857,5666.8997795999985,5555.422490839999,5543.93228521,5789.2577352,5675.653264059999,5656.585548360001,5532.21218596,5481.78397978,5534.53348195,4953.640448499999,5145.02211496,5054.90125193,5004.694708489999,4843.36742755,4560.751482169999
Africa,1656.6401746670003,1661.0247907330001,1670.6219877500002,1687.8826054699998,1692.7548987329997,1721.007589363,1771.609134913,1773.9352262330003,1816.0941723329995,1759.2063355730002,1805.37749093,1765.390436497,1906.635310467,1846.528400833,1942.055665903,2021.4316090000002,1860.5163450100004,1900.1573835970003,1969.2325127569998,1973.103890737,1972.352139797,1937.5943402300004,1962.9016376900001,1965.4704809700002,1909.3763541300004
South America,1938.20106,1950.54647301,1967.2300124800001,1984.9288864,2007.84645507,2047.03052447,2103.7960682000003,2144.610457,2157.9549375,2150.2117428300003,2171.7118469300003,2440.06103863,2427.3901377600005,2434.4147673400003,2486.25703354,2515.4070163300003,1933.54288719,1969.49592416,2050.0955378,2028.33388787,2097.33753571,1738.5524048400005,1809.4647416599998,1844.0809208600003,1882.2478637999998
Asia,6364.959999129999,6653.528199640001,6829.94883423,7136.215743479998,7420.615233790001,7923.5576568199995,7938.05185693,8774.1908646,8304.645644867,8297.769400059999,8579.717372997,9005.063292789999,9744.381575899999,10312.55907092,11403.818094829998,12214.718297709998,13309.286760980003,13938.148506350002,14258.03269256,15168.975851049996,16022.0256339,17628.03509731,18181.177083130002,18816.48094391,19451.764060972997
Oceania,261.351716633,262.49850333300003,267.804674033,271.37914870000003,278.110377967,288.810732667,300.338298233,309.8167035,330.321015,337.076415533,343.9493617670001,407.40130023,414.16024737,423.26726969000015,432.99974725,439.77916295999995,401.93590905,410.10804069999983,412.7758841,416.5150934,408.750146,337.61085990000004,338.95582487,335.06340203,325.76041142999986
North America,5413.9165563,5380.997447,5468.914411600002,5596.320769,5717.1168493000005,5766.348518700001,5937.3245602,6128.355652732998,6251.662833699998,6244.739049,6458.884979099999,6540.50895,6539.448211399999,6660.211048200002,6751.3029437,6784.562707499999,6656.487730299999,6852.5044283,6591.787258500001,6140.994796300001,6423.06054303,6394.415481669999,6228.660706670002,6346.70208117,6412.64515828
