country_name,CO2_emissions
Albania,3.2892752
Andorra,0.5044964
Austria,51.8949528
Belarus,42.965500299999995
Belgium,114.32605600000001
Bulgaria,32.089977000000005
Croatia,6.5980960999999985
Czech Republic,110.8574072
Denmark,52.8483544
Estonia,14.168054099999999
Finland,30.69805
France,350.7498657
Germany,782.002429
Greece,95.0011082
Hungary,58.54329050000001
Iceland,2.2131432999999996
Ireland,39.8148458
Italy,405.4196697
Latvia,-2.8966754
Liechtenstein,
Lithuania,12.6677258
Luxembourg,7.700371799999999
Malta,2.13
Moldova,5.4153598
Montenegro,
Netherlands,165.7977234000001
Norway,19.8582544
Poland,283.4477937
Portugal,64.5331891
Romania,90.7418067
Russia,1692.201548
Slovakia,28.503873699999996
Slovenia,7.8771419000000025
Spain,250.8662636
Sweden,33.3814081
Switzerland,41.900667799999994
Ukraine,250.76371699999999
United Kingdom,518.5295348999998
