,Albania,Andorra,Austria,Belarus,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
1990,6.1648788,0.3872484000000001,46.8618902,91.57746689,105.9502187,65.7072632,10.10719626,141.0276754,52.62270817,35.93959998,30.092919800000004,334.8200106,908.5104929,75.99284200000002,71.226653,1.9385445,28.605537800000004,374.938406,9.479965398,,35.25566638,10.88768602,2.31,29.49025666,,149.2422646,14.93332903,337.3449931,43.0524596,174.5941045,2419.552357,46.7244779,7.393969316000002,169.9739298,33.396579100000004,41.4388204,654.5580282000002,542.8610685
1991,4.2315987999999995,0.3872484000000001,51.09051420000001,87.84494641,110.7484587,46.5821112,4.327998387,127.12179760000001,63.23740683,32.26577489,30.650711800000003,359.56497060000015,885.4054208999999,75.35171911,68.31049300000001,1.9012165,29.2008818,374.311446,7.888490878,,37.25876729,11.40699802,2.21,23.54672682,,156.4406646,12.98542237,338.5631691000001,44.75772360000001,144.5491125,2393.008706,39.51042145,6.565238917,176.25634580000002,34.3762751,43.852340399999996,617.0146892000001,558.1853537999998
1992,2.3600787999999997,0.3872484000000001,46.2378422,77.90162959999998,109.4118027,43.9611992,3.4049204,122.21016940000001,57.4414255,23.507479999999997,27.7954478,345.91124260000015,846.6227516000001,76.99588277,61.863932999999996,1.9312165000000001,29.310881800000004,372.038918,4.2882748,,22.1310008,11.04303002,2.17,18.9535198,,155.20445930000002,16.16287303,330.1282091,48.9819956,128.5902645,2222.697586,46.04575999999999,6.017989900000001,187.5371938,36.8813151,43.8125004,529.421889,540.7217405
1993,2.2000787999999996,0.3909124000000001,46.403874200000004,66.2201096,107.1709707,44.2989112,4.0446164,119.03615829999998,59.81094017,17.916184,28.938887800000003,327.1831626,840.3183649,77.86398266,62.22049300000001,1.9638885,29.393937800000003,365.284998,2.1506428,,18.031848800000002,11.40165402,2.81,15.8167358,,160.3292459,17.5996437,331.3294251000001,47.931003600000004,119.52560849999999,2037.9207059999999,34.6526598,6.8003579,172.8155653,36.5790271,41.6342604,453.8690730000001,528.2029298
1994,2.2571534669999997,0.3872484000000001,46.76891420000001,54.6749256,112.3903467,41.831279200000004,3.3978163999999995,112.6973774,63.80788417,17.328552,35.4235438,322.3671946000001,828.0330716,79.48227223,61.603389,2.0702244999999997,30.5318738,360.397382,0.5213308,,16.9599448,10.50799002,2.51,12.5937598,,160.4868779,19.29198237,326.3681771,49.5205396,117.2517845,1828.222978,32.0415878,6.8456218999999985,182.7035985,38.5353631,40.7574604,369.86371299999996,522.8691752000002
1995,2.0700788,0.4055684,49.64793820000001,47.480349600000004,111.9750827,42.5618872,4.015608400000001,113.1443997,60.6001215,15.66588,31.591863800000002,329.5184426000001,823.6547782,83.06188109,61.282701,1.9802244999999998,31.173169800000004,383.495686,-0.7369892,,15.915976800000001,8.40799002,2.38,10.681087800000002,,167.8115846,18.7756677,326.6284811000001,52.8138196,122.59605649999999,1779.654898,32.7741798,7.7332539,194.6092366,38.2858911,41.5552524,353.14308900000015,511.5998658
1996,2.0833481,0.4348804,53.3826066,48.4439395,116.97572050000001,43.0263133,3.9544368999999997,114.69482430000001,73.93053247,16.61750769999999,38.127850099999996,345.29926919999997,853.1769901,83.06811697,62.306199899999996,2.2543879000000002,32.6334401,380.3613809,-0.6690196999999999,,16.4201199,8.466013778999999,2.32,8.993759800000003,,177.42809590000002,19.762597,342.4195075,51.0972881,125.880946,1760.0545550000008,32.58247679999999,8.5415739,183.7527271,43.712317999999996,42.1247238,299.8471702,532.0330993
1997,1.6020478999999999,0.4458724,52.5715941,48.9825601,113.94079070000001,40.9015248,5.7072712,112.71037450000001,64.31548889999999,16.20857130000001,36.0394525,336.94042989999997,823.0646114,84.1764009,60.8140402,2.1411592999999995,33.7185684,383.67916660000003,-1.199116,,16.0683089,7.973333127,2.47,8.137727799999999,,169.9678065,21.48714923,331.7250103,53.583676000000004,115.53549850000002,1610.279692,32.727339799999996,9.011877900000002,202.86750619999998,37.4720114,41.0180817,281.7162552,509.6145688999998
1998,1.9212662,0.4715204000000001,53.19160030000001,47.1819335,115.96683870000001,38.6747395,7.1498338000000015,106.7099807,60.20917567,15.5772889,32.78458,358.2617202,815.3499477999999,87.6145458,61.2236869,2.1384873,36.2770698,395.12329750000004,-1.5274133,,16.843625699999997,7.300661127000001,2.37,7.2320797999999975,,170.3231504,23.21316927,305.8949911,58.329947499999996,101.609021,1652.502831,32.031455,8.7901979,212.1951921,38.4565695,42.5164051,262.6530216,512.8342679
1999,3.0920522999999998,0.4935044,51.533278700000004,45.1221681,112.43607069999999,32.8495458,7.117374400000001,99.6656062,57.15636110000001,14.575348499999999,32.1008165,352.73063080000014,784.9913008,87.318152,61.7690131,2.0958153000000004,38.0079018,401.90332830000017,-2.3298847,,14.4049864,7.652645127,2.41,5.9310877999999985,,165.102377,25.13006663,296.9121116000001,64.97017650000001,87.4573227,1653.012397,31.2887723,8.2268379,234.913035,37.348077,42.7807551,259.3929026,510.56006349999996
